iter	Passed	Remaining
444	1276	1591
445	1279	1588
446	1281	1585
447	1283	1581
448	1285	1577
449	1288	1574
450	1290	1570
451	1291	1565
452	1293	1561
453	1294	1557
454	1297	1553
455	1300	1550
456	1303	1549
457	1305	1545
458	1308	1541
459	1310	1538
460	1313	1535
461	1317	1534
462	1320	1531
463	1324	1529
464	1336	1537
465	1339	1535
466	1342	1532
467	1347	1531
468	1349	1527
469	1351	1524
470	1353	1520
471	1355	1515
472	1356	1511
473	1361	1511
474	1364	1507
475	1366	1503
476	1368	1500
477	1371	1497
478	1377	1497
479	1379	1494
480	1381	1490
481	1383	1487
482	1385	1483
483	1389	1481
484	1392	1478
485	1394	1474
486	1397	1471
487	1400	1469
488	1404	1467
489	1406	1463
490	1409	1460
491	1411	1457
492	1414	1454
493	1418	1453
494	1421	1450
495	1423	1446
496	1426	1443
497	1429	1441
498	1437	1443
499	1440	1440
500	1444	1438
501	1449	1438
502	1451	1434
503	1453	1430
504	1454	1426
505	1457	1422
506	1462	1421
507	1465	1418
508	1466	1414
509	1468	1410
510	1470	1407
511	1473	1404
512	1477	1402
513	1482	1401
514	1485	1398
515	1490	1397
516	1493	1395
517	1496	1392
518	1498	1389
519	1500	1385
520	1505	1384
521	1508	1381
522	1511	1378
523	1515	1376
524	1520	1375
525	1523	1372
526	1526	1369
527	1528	1366
528	1531	1363
529	1536	1362
530	1540	1360
531	1543	1357
532	1545	1354
533	1548	1351
534	1551	1348
535	1554	1345
536	1556	1342
537	1559	1338
538	1562	1336
539	1564	1332
540	1568	1330
541	1570	1327
542	1573	1324
543	1576	1321
544	1579	1318
545	1582	1315
546	1585	1312
547	1587	1309
548	1591	1307
549	1595	1305
550	1597	1301
551	1601	1299
552	1603	1295
553	1606	1293
554	1609	1290
555	1613	1288
556	1616	1285
557	1619	1283
558	1622	1279
559	1625	1276
560	1627	1273
561	1637	1275
562	1640	1273
563	1643	1270
564	1646	1267
565	1651	1266
566	1654	1263
567	1657	1260
568	1660	1257
569	1665	1256
570	1668	1253
571	1670	1249
572	1674	1247
573	1678	1245
574	1680	1241
575	1681	1238
576	1683	1234
577	1685	1230
578	1688	1227
579	1696	1228
580	1700	1226
581	1703	1223
582	1710	1223
583	1712	1220
584	1715	1216
585	1717	1213
586	1719	1209
587	1723	1207
588	1725	1204
589	1730	1202
590	1732	1199
591	1742	1200
592	1744	1197
593	1746	1193
594	1752	1193
595	1754	1189
596	1757	1186
597	1760	1183
598	1761	1179
599	1765	1176
600	1767	1173
601	1769	1170
602	1771	1166
603	1772	1162
604	1774	1158
605	1776	1154
606	1779	1152
607	1782	1148
608	1784	1145
609	1786	1142
610	1788	1138
611	1789	1134
612	1792	1131
613	1795	1128
614	1797	1125
615	1799	1121
616	1801	1118
617	1803	1114
618	1805	1111
619	1808	1108
620	1811	1105
621	1813	1102
622	1815	1098
623	1817	1095
624	1818	1091
625	1821	1088
626	1825	1086
627	1828	1082
628	1830	1079
629	1831	1075
630	1834	1072
631	1837	1070
632	1840	1066
633	1842	1063
634	1845	1060
635	1850	1059
